,X_IMAGE,Y_IMAGE,FLUX_RADIUS,FLUX_ISO,FLUXERR_ISO,FLAGS,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,FLUX_PEAK,FLUXERR_PEAK
30,2131.3906,1090.5142,11.639,-0.00012386628818611197,-1.9838153640639254e-06,0,4.559,2.014,-31.61,2131,1091,266.8744633,-28.4367991,0.0004042089858558029,3.7935053114779294e-05
31,2098.4246,1191.6251,34.589,-0.00437081787407709,-8.35207317690499e-06,19,21.916,7.068,-6.92,2100,1191,266.8749524,-28.43541,0.0009990534745156765,9.573073475621641e-05
32,2058.6487,1211.0214,21.693,-0.00279033274271855,-6.754201438031561e-06,3,16.875,6.125,-29.57,2052,1214,266.8757104,-28.4350904,0.0009270654409192502,8.637980499770492e-05
33,2238.6711,1141.759,9.093,-0.0005089200599734327,-2.443128551218113e-06,19,8.453,2.154,-8.44,2239,1142,266.8727572,-28.4360913,0.0009418527479283512,9.36619981075637e-05
34,4902.6284,1215.489,14.804,-0.0018603074716469447,-6.167932176523083e-06,0,10.012,8.07,-27.69,4902,1218,266.8306964,-28.4350417,0.0006498470902442932,5.877132571185939e-05
35,1983.9451,1241.1971,8.432,-0.00047329866425267254,-4.192692617967942e-06,3,6.72,3.521,-49.13,1985,1241,266.8767685,-28.434715,0.0006190724670886993,5.709299148293212e-05
36,1948.6675,1281.2296,19.05,-0.0020167148736884187,-7.023194095294683e-06,2,11.667,8.848,2.49,1949,1284,266.8773368,-28.4341176,0.0007271972135640681,6.502766336780041e-05
37,2046.2412,1309.6158,10.065,-0.00037570686443867056,-3.590103110827961e-06,0,6.896,4.327,50.25,2049,1312,266.8757572,-28.4337292,0.0004769676015712321,3.648045094450936e-05
38,2379.8867,1666.5873,6.483,-5.79220411017821e-05,-1.5891173360266813e-06,0,2.654,2.28,-18.46,2379,1667,266.8705434,-28.4288002,0.00033247482497245073,3.130348341073841e-05
39,3849.4861,1862.2305,8.758,-0.0020383376847282887,-5.083627527246826e-06,0,5.963,5.626,43.32,3850,1861,266.8473108,-28.4261103,0.0016409313539043069,4.036444806843065e-05
40,4703.2153,1812.1876,15.95,-0.00037646198651671844,-3.289785420472374e-06,18,9.92,3.348,-11.18,4702,1813,266.8338552,-28.4267778,0.00038373100687749684,3.5195578675484285e-05
41,4278.8667,1812.2354,6.804,-0.0001511708445381317,-2.509350041947834e-06,2,4.65,3.212,-43.54,4280,1811,266.8405199,-28.4268053,0.00047648887266404927,4.756396447191946e-05
42,4187.645,2034.7914,22.841,-0.0008205007146739117,-5.077172434572725e-06,2,11.478,4.275,-89.84,4185,2042,266.8420199,-28.4235969,0.0006120240432210267,4.916371835861355e-05
43,4406.2056,2023.7555,17.893,-0.0012007375804806558,-5.943176304343942e-06,2,15.719,7.494,10.24,4407,2024,266.838514,-28.4238471,0.0005064018769189715,4.164753045188263e-05
44,4316.3643,2074.1768,18.658,-0.0004600870045091336,-3.6174044816719063e-06,3,8.369,3.755,81.2,4317,2077,266.8399353,-28.4231109,0.0006720229866914451,6.625597598031163e-05
45,4314.7793,2050.9324,9.517,-0.00033459360057559305,-3.2747978660878827e-06,3,5.944,4.208,82.84,4315,2050,266.8399669,-28.4234859,0.000691343389917165,6.664504326181486e-05
46,4088.6619,2047.0161,11.426,-0.00023897744242526385,-2.6799867430091213e-06,0,4.434,3.874,-64.24,4091,2046,266.8435044,-28.4235412,0.0005679624155163765,4.610817268257961e-05
47,4243.3862,2065.4451,17.119,-0.00011421341539795398,-1.7180343255974793e-06,0,3.125,2.208,64.54,4243,2065,266.8411039,-28.4232775,0.0006522007752209902,5.810618313262239e-05
48,3320.8442,2085.8176,5.776,-0.00016743954760455615,-2.0084597078448632e-06,0,3.166,2.759,55.72,3321,2086,266.8556647,-28.4229841,0.0003529060340952128,3.484318949631415e-05
49,4272.1309,2124.2117,13.369,-0.0009530074062948489,-4.3988242344129884e-06,0,7.066,6.055,-34.87,4272,2122,266.8406459,-28.4224859,0.0007900852942839265,5.7184377510566264e-05
50,4103.4185,2160.2014,26.264,-0.0004300038495728281,-3.1051622501051693e-06,0,7.08,3.123,76.54,4103,2162,266.8433148,-28.4219301,0.0007349272491410375,6.85342529322952e-05
51,4217.8525,2270.0647,23.876,-0.002012357516413708,-7.324908709273216e-06,2,14.093,6.163,63.56,4222,2276,266.8414353,-28.4203469,0.0010633418569341302,8.58135535963811e-05
52,4689.4771,2462.8657,112.803,-0.0015883528140887408,-6.425744222658262e-06,2,18.801,3.534,-83.41,4689,2465,266.8340603,-28.4177222,0.0008695524302311242,8.287297532660887e-05
53,3907.9763,2140.6956,11.743,-0.00014982410572272523,-2.3332682109364744e-06,0,4.46,2.875,48.12,3908,2141,266.8463943,-28.4222215,0.0004511580045800656,4.4187192543176934e-05
54,4169.1445,2245.968,18.015,-0.0014223659103877156,-5.298434692158408e-06,2,10.689,6.082,-80.65,4167,2243,266.8423039,-28.4208052,0.0011645602062344551,7.336775888688862e-05
55,4164.6567,2385.3936,18.491,-0.008295674017548714,-1.0780960418171204e-05,2,22.11,12.604,66.02,4166,2379,266.8423196,-28.4189163,0.0016615769127383828,0.0001404110953444615
56,4717.0547,2221.5935,14.087,-0.00013609754254284104,-2.2179731849935323e-06,0,5.418,2.159,-71.54,4717,2222,266.8336182,-28.4210972,0.0005589304491877556,4.666911991080269e-05
57,4274.6973,2427.3247,19.09,-0.00237963249764284,-7.320433331535408e-06,3,18.549,5.648,77.7,4274,2433,266.840614,-28.4181664,0.0013098660856485367,0.00010844804637599736
58,4255.7788,2354.134,44.503,-0.0010421812660248199,-5.025230375448911e-06,3,14.549,4.158,74.76,4256,2355,266.8408983,-28.4192497,0.0012141932966187596,9.136027074418962e-05
59,4288.1494,2294.697,19.287,-0.0007751369908316812,-4.8254718640111235e-06,2,8.307,4.619,72.78,4288,2297,266.840393,-28.4200553,0.0009338055970147252,7.837573502911255e-05
60,4162.4248,2279.9238,14.258,-0.0004886835716034066,-3.279801202622998e-06,3,7.137,3.819,-82.39,4162,2280,266.8423829,-28.4202913,0.001053590327501297,5.915815563639626e-05
61,4706.2998,2301.4434,20.895,-0.00022287422911439496,-2.5353542321265847e-06,0,4.901,3.092,-84.04,4707,2299,266.8337761,-28.4200278,0.0006034619873389602,5.1595627155620605e-05
62,4237.0469,2402.0078,6.961,-0.0004004636932096583,-3.7770715462383976e-06,0,6.987,3.338,73.88,4237,2402,266.8411983,-28.4185969,0.001211844035424292,0.00011227862705709413
63,4263.2368,2392.0557,8.128,-0.000352546288541797,-2.734500708242469e-06,3,5.949,3.271,57.67,4263,2392,266.8407877,-28.4187358,0.0013083589728921652,0.00010446479427628219
