,cenx,ceny,ella,ellb,ellt,ellr,flx_iso,flx_err,collide
319,4107.7388,6266.0796,4.378,2.208,-89.71,4.842,0.7031608,0.2215486,-1
320,4027.792,6371.9951,14.699,7.934999999999999,82.51,7.174,0.3273953,0.5173954,-1
321,3931.9016,6263.3462,3.282,1.858,-83.14,7.33,0.4260235,0.1527203,-1
322,4144.4023,6352.6104,6.42,3.794,-88.84999999999998,7.631999999999999,1.197501,0.4049206,324
323,3970.5898,6329.9067,8.359999999999998,5.808,24.63,12.667,0.6113486,0.4865348,-1
324,2718.0259,7370.1528,17.165,6.008,83.09999999999998,15.86,0.7428525999999999,0.7409266999999999,342
325,2782.0176,7385.9834,13.294,4.983,-67.33,16.219,0.5157196,0.5250758,-1
326,2804.0034,7318.106399999999,6.919,3.332,68.26000000000002,10.013000000000002,0.2670078,0.311646,-1
327,2758.8015,7318.4941,4.726,2.867,66.09,7.831,0.31074120000000005,0.2632001,-1
328,2794.4648,7403.5537,10.78,5.643,-63.93,10.348,1.024848,0.5296963,343
329,2732.5613,7395.054199999999,4.866,3.063,62.2,4.589,0.3518396,0.2671384,-1
330,3291.1755,8217.0127,3.287,1.891,-79.04,5.677,0.2209641,0.17700300000000002,-1
331,7195.0962,8924.3994,3.449,1.648,-79.15,4.778,0.2066069,0.16791979999999998,-1
