,Unnamed: 0,cenx,ceny,ella,ellb,ellt,ellr,flx_iso,flx_err,collide,cenf_006,cenf_096,cene_006,cene_096
203,203,4876.5889,5904.3022,6.725,4.426,-61.97,6.138,6.528735909379791,0.016774076586394373,-1,2.905449,13.7901125,2.9054399,1.3803548
204,204,5243.1904,5889.7842,7.184,4.885,-25.9,12.546,3.997322898428368,0.01982818730335072,-1,0.056614242,4.197927,-0.1990787,1.0895333
205,205,4802.9546,5936.0801,11.302,7.777999999999999,28.47,13.024000000000001,30.77540281745924,0.031199143382693383,188,18.955856,32.374546,18.955856,1.4196426
206,206,5072.126,5926.3447,7.625,6.28,89.67,11.356,5.682222957267504,0.02253855077568531,-1,0.69685894,8.7998,0.69685894,1.0008255
207,207,4977.8564,5905.4917,7.085,5.074,33.43,9.551,4.7466455034848964,0.019577304352948962,-1,0.25073853,6.9046497,0.17844903,1.1946406
208,208,4800.3384,5966.7480000000005,10.166,8.277999999999999,-61.87,6.482,15.863101581344432,0.028485239294410762,211,24.029846,28.423704,24.029846,1.4321754
209,209,5158.0645,5923.3281,7.058,6.026,-16.87,8.638999999999998,10.740779154478686,0.02367399028906324,-1,0.52574295,11.110057,0.47093573,1.0354515
210,210,4595.9214,5990.5972,11.870999999999999,8.804,48.9,6.7379999999999995,36.411966764597956,0.03227735318816696,201,30.7438,36.70395,30.7438,1.746871
211,211,4627.7959,5943.0752,8.479,7.535,-16.36,14.243,21.172857012267848,0.02443276273658552,209,34.137455,35.278397,34.137455,1.6767222
212,212,4823.771,5880.4282,3.04,2.63,11.18,4.018,1.4301821732976574,0.009904499724590373,174,6.1781306,17.71654,6.1781306,1.3971266
213,213,5211.5874,5895.5864,4.379,3.5580000000000003,-67.43,7.127000000000001,1.78297160634052,0.013368162186046209,-1,0.96375346,3.7212343,0.94052416,1.0815068
214,214,4890.6035,5920.5952,6.7589999999999995,5.904,-16.96,10.709000000000001,3.3053934143199553,0.01818788934124447,-1,1.4394836,7.773018,1.4394836,1.3629514
215,215,4881.2964,5876.4585,3.658,1.886,-22.6,6.148,0.9395160595630068,0.008632780761238652,-1,1.0758736,7.9343405,1.0758736,1.3971266
216,216,4718.873,5893.5415,3.5580000000000003,2.531,83.84999999999998,14.970999999999998,1.58467514913214,0.01001900306863667,-1,29.168047,33.394066,29.168047,1.5199754
217,217,4475.1406,5922.5259,6.492999999999999,5.482,-4.0,8.721999999999998,9.596149853801407,0.019303482076888912,200,15.192608,17.162703,15.192608,1.6001905
218,218,4353.373,5926.7383,5.665,3.759,-85.04,10.825,2.008905074932804,0.0149269644818152,-1,3.7042568,3.1883798,3.7042568,1.2773464
219,219,4832.0713,5893.6157,2.585,2.276,24.8,4.06,0.8211479091754308,0.008272922396206249,-1,3.4539397,15.213813,3.4539397,1.3928745
220,220,3179.4883,6028.7632,20.558000000000003,6.994,57.0,19.711,41.7257108794926,0.0392225305468265,233,20.175848,22.38786,20.175848,0.8604231
